source,target,weight
ER,KCNK15,0.656695720314444
ER,OTUD7A,-0.19957097517179
ER,CHRM5,0.421369975948864
ER,KCNJ12,0.118754405190315
ER,GRK5,0.0263099210339614
ER,GPR61,0.00830729723394477
ER,SPTA1,0.351370694432649
ER,SP9,0.359777252711556
ER,ANKRD66,-0.0505263600950939
ER,DCAF4L2,-0.397548889981537
ER,RYR2,0.378019204956386
ER,ACTBP13,-0.607284284577467
ER,SLC24A2,0.529633388659485
ER,CD226,-0.472536960492281
ER,GABRR3,-0.31444876365004
ER,CXorf36,0.106359080204188
ER,MBP,0.633884442509774
ER,KCNJ10,0.434723327202441
ER,OTOF,0.0261029511159401
ER,CDH7,0.460064886381048
ER,TREML2,0.453685316252098
ER,SIM1,-0.0632564907066835
ER,VWA2,0.652049381949509
ER,MID1,-0.155921498219355
ER,OR2C3,0.323944242292077
ER,COL9A1,-0.334445200588516
ER,C10orf105,0.29470773928564
ER,TSSK1B,-0.23045549000349
ER,CLEC17A,0.352445234256823
ER,DCDC1,-0.276713506517036
ER,PRDM7,0.379867490297464
ER,CYSLTR2,0.934469296872114
ER,PRDM16,0.37349900578809
ER,ABCA12,0.196813897629094
ER,CD160,-0.155504537218826
ER,RFX4,-0.406144189389779
ER,PIK3CG,-0.556663946552671
ER,SPATA17,0.666441555005287
ER,FRA10AC1,0.385816996982362
ER,CD36,-0.654530920646237
ER,NRK,0.033923039397915
ER,RASGEF1B,0.237300554663819
ER,GCSAML,-0.258421038704142
ER,ZFR2,-0.485814536717462
ER,ARRDC5,0.355966781363992
ER,HS3ST3B1,-0.231318161560333
ER,SPATA31E1,-0.802059471020771
ER,ITGA8,0.510785580083167
ER,HYAL4,0.470496421835342
ER,SORCS1,0.349022206428206
ER,ZNF99,-0.461191776554632
ER,OTOG,-0.36434266999599
ER,HLF,-0.0669468316767872
ER,IL2RA,0.107030764761202
ER,DNAH14,-0.474966701404668
ER,LUZP2,0.0825381406284179
ER,COL25A1,0.111107565953467
ER,PARP8,-0.0147210032244059
ER,MCM9,0.251884170931751
ER,PROM1,0.236351171251857
ER,KCNS2,-0.117279013958103
ER,EGR3,0.0039080422562423
ER,MYEF2,-0.204801812562668
ER,ARL14EP,0.097384610910248
ER,SPAG16,0.313005496320164
ER,SLITRK6,1.22015023526601
ER,TRPM5,0.303223066659811
ER,SSTR1,0.652168050854932
ER,ZDHHC13,0.69171914744491
ER,TRPV3,0.0112508438115146
ER,TMEM132B,-0.087873086858939
ER,THEMIS,-0.569289926131521
ER,CAPN13,0.786610178956236
ER,FBXW4P1,-0.271278285711426
ER,ZC2HC1C,-0.16958166437357
ER,PANK1,0.107326325428417
ER,ZNF578,-0.517974682155305
ER,DMKN,-0.468099436684253
ER,ATP2B2,0.79253604821323
ER,ACSS1,0.00148945977846112
ER,ZDHHC14,0.231339182763209
ER,PDE7B,-0.542498719154527
ER,KCTD1,1.40333887251526
ER,CYP26C1,0.252674689269088
ER,MYO15A,-0.0366436129118112
ER,PNPLA5,0.374631033281932
ER,RTL1,0.139544720113571
ER,C1orf132,0.421949202829391
ER,POLI,-0.148966532629723
ER,GNL2P1,0.117090843342753
ER,HDHD3,-0.0739600803414274
ER,MYRIP,-0.512187581727652
ER,TBC1D10C,0.0206918380773889
ER,SHOX,-0.211950102341758
ER,ITK,-0.336620668332266
ER,FBLN2,-0.390464398468917
ER,MYLK4,-0.0546210448382662
ER,KAZN,-0.419716806008009
ER,CCDC177,-0.323156498057183
ER,SCN1A,-0.556229168802735
ER,WISP2,-0.317370322031773
ER,MX1,-0.383753525749496
ER,LRRIQ1,-0.314810844344225
ER,MUC6,0.0732212807454437
ER,GSTM5,-0.487850763111348
ER,SV2B,-0.219408365959715
ER,KCTD16,-0.141130823251265
ER,B3GNT6,0.211541680363434
ER,GALR1,0.0489437195813788
ER,FRMPD4,-0.541517485100795
ER,PDGFD,1.27099375539908
ER,OAS2,-0.449629814039333
ER,C2orf88,0.272129306882863
ER,SPON1,-0.534876835360142
ER,FLG2,-0.26734563029943
ER,KLHL31,-0.665448737565941
ER,PDCD1,1.09836300684723
ER,DOCK11P1,0.145303738059155
ER,EXTL1,-0.27032387923209
ER,LLGL2,0.266948897491442
ER,LRRTM2,0.240850959833523
ER,CALHM1,-0.149524298007366
ER,F13A1,-0.360324572859697
ER,C17orf102,0.420673471942617
ER,VCAN,-0.313307153071887
ER,TSPAN19,-0.448706020813585
ER,ESR2,-0.0958021031072362
ER,CNOT2,0.573764748491237
ER,TRIM67,0.307033818275769
ER,IFT81,0.249069913185377
ER,TMEM220,0.0105363931738656
ER,FOXI3,0.472935647538314
ER,TBC1D27,0.226349535949675
ER,TMEM30B,-0.118995820683196
ER,TMEM229A,-0.310729844997209
ER,TEK,0.666391696214448
ER,COX18,0.508032484351315
ER,FASLG,-0.425173305029514
ER,HNF4A,1.33412653182246
ER,NR2E1,0.123228237736909
ER,ABCA5,0.204783125733115
ER,SCN3B,0.486740508631226
ER,MIPEPP1,0.458390997851317
ER,CDHR2,-0.121711511210985
ER,SLAMF6,0.0430731218891117
ER,ZRANB3,0.272439686130737
ER,SCN11A,0.24614220713314
ER,MAGEB16,0.0127877689391113
ER,GREM1,0.224781677641901
ER,GOLGA2P1,-0.455025278632035
ER,CAPN14,0.158394295601857
ER,VN1R1,0.179686340949626
ER,TNFRSF10A,-0.0577417716511419
ER,NEFH,-0.493608871056316
ER,MYT1L,0.353416537218696
ER,SCRT1,-0.0444544411265238
